frame,category,score,speed(ms),fps
1,merchant,0.9830896854400635,1575993483332.0,0.0
2,merchant,0.9860345125198364,345.0,2.9
3,merchant,0.9865028858184814,245.9,4.1
4,merchant,0.9859824776649475,205.8,4.9
5,merchant,0.9858713746070862,204.4,4.9
6,merchant,0.9858940839767456,234.3,4.3
7,merchant,0.9864155650138855,238.0,4.2
8,merchant,0.9873892068862915,217.9,4.6
9,merchant,0.9853945970535278,224.2,4.5
10,merchant,0.9826040863990784,220.1,4.5
11,merchant,0.9823819994926453,234.3,4.3
12,merchant,0.9834691286087036,258.3,3.9
13,merchant,0.9827306866645813,221.6,4.5
14,merchant,0.9831116795539856,218.7,4.6
15,merchant,0.9854394793510437,974.5,1.0
16,merchant,0.9854947328567505,234.3,4.3
17,merchant,0.9864940643310547,220.0,4.5
18,merchant,0.9880181550979614,218.7,4.6
19,merchant,0.9879768490791321,203.1,4.9
20,merchant,0.9876394867897034,218.7,4.6
21,merchant,0.9880080223083496,234.3,4.3
22,merchant,0.9871412515640259,218.7,4.6
23,merchant,0.9861766695976257,218.7,4.6
24,merchant,0.9837694764137268,206.0,4.9
25,merchant,0.9831647276878357,220.2,4.5
26,merchant,0.9810603857040405,218.7,4.6
27,merchant,0.976203441619873,218.7,4.6
28,merchant,0.9777957797050476,203.1,4.9
29,merchant,0.9722350239753723,203.1,4.9
30,merchant,0.97621750831604,259.8,3.8
31,merchant,0.9732580184936523,302.4,3.3
32,merchant,0.9735855460166931,234.9,4.3
33,merchant,0.9771674275398254,220.0,4.5
34,merchant,0.9762478470802307,238.3,4.2
35,merchant,0.9786959886550903,234.3,4.3
36,merchant,0.9785012602806091,203.1,4.9
37,merchant,0.9768376350402832,204.1,4.9
38,merchant,0.9770070314407349,204.4,4.9
